name,price,availability,item_type,description,product_format,number_in_case,product_weight_numeric,product_weight_metric
Similac Soy Isomil Infant Formula Powder,$175.49,In stock,SKU#:5081978,"Soy Based formula for infants who need cow's milk-free nutrition. Similac Soy Isomil features OptiGRO™, an exclusive blend of brain & eye nourishing nutrients for baby’s development.
• Lactose-free; suitable for infants with galactosemia
• Easy to digest
• Suitable for infants and children of vegetarian families
• Features OptiGRO, an exclusive blend of important ingredients found in breast milk: DHA, Lutein, and Vitamin E
Soy formulas are not recommended for premature infants with birth weights less than 1800 g
",container, Case of 6                ,1.45,lb
Similac Soy Isomil Infant Formula Concentrated Liquid,$70.49,In stock,SKU#:5697578,"Soy Based formula for infants who need cow's milk-free nutrition. Similac Soy Isomil features OptiGRO™, an exclusive blend of brain & eye nourishing nutrients for baby’s development.
• Lactose-free; suitable for infants with galactosemia
• Easy to digest
• Suitable for infants and children of vegetarian families
• Features OptiGRO, an exclusive blend of important ingredients found in breast milk: DHA, Lutein, and Vitamin E
Soy formulas are not recommended for premature infants with birth weights less than 1800 g
",can, Case of 12                 ,13,oz
Similac Slow Flow Nipple and Ring,$173.00,In stock,SKU#:53894,"To support the underdeveloped “suck-swallow-breathe” coordination of preterm infants. Provides a more controlled flow rate vs faster-flow nipples for increased physiological stability and a more efficient sucking pattern.1 Latex-free.
Features
• Nipples and rings individually prepackaged and ready for use.
• Nipples and rings form a seal to prevent leakage during feeding.
• Disposable – not for reuse.
• Easy to use.
Precautions
• DO NOT use as a pacifier, as it presents a choking hazard.
• DO NOT reuse, as reuse can cause deterioration or separation of the rubber, presenting a choking hazard.
• Keep out of reach of children.

1Chang YJ, et al. J Nurs Res 2007;150(3):215-223
",,,,
Similac Total Comfort NON-GMO Infant Formula Ready-to-Feed,$51.99,In stock,SKU#:62595,"Similac Total Comfort NON-GMO* infant formula is an alternative to a standard cow’s milk intact protein-based formula. It has partially broken-down protein for easy digestion and features OptiGRO™, our exclusive blend of brain and eye nourishing nutrients for baby’s development.
• Complete Nutrition for Delicate Tummies
• A good choice if your child has difficulty tolerating other milk-based formulas
• Features OptiGRO, an exclusive blend of important ingredients found in breast milk: DHA, Lutein, and Vitamin E
Not for infants and children with galactosemia.
*Ingredients not genetically engineered
",bottle, Case of 48                ,2,oz
Similac Pro-Sensitive NON-GMO Infant Formula Ready-to-Feed,$50.99,In stock,SKU#:64253,"Similac Pro-Sensitive is the first infant formula for sensitive tummies with 2'-FL Human Milk Oligosaccharide* (HMO), an immune nourishing prebiotic previously only found† in breast milk.


Similac with 2'-FL Human Milk Oligosaccharide helps support baby’s developing immune system by closing multiple gaps in immune function‡ between formula-fed and breastfed infants.
Unlike other formulas, Similac has 2'-FL HMO, a prebiotic that circulates throughout the body
All ingredients are carefully selected to meet our high standards and are Non-GMO**
From Birth – 12 months; Complete nutrition for your baby’s first year
Features OptiGRO™, an exclusive blend of DHA, Lutein, and Vitamin E - important ingredients found in breast milk

* Not from human milk
†At significant levels
‡As measured in blood samples in a clinical study
**Ingredients not genetically engineered
",bottle, Case of 6                ,1,QT
Similac For Supplementation NON-GMO Infant Formula Powder,$123.49,In stock,SKU#:63013,"Similac for Supplementation Non-GMO* formula for breastfeeding moms who choose to introduce formula. Has all the benefits of Similac Advance as well as approximately 10% more prebiotics than Similac Advance formula.
• Helps provide a gentle introduction to formula
• Complete nutrition for your baby’s first year
• Features OptiGRO™, our exclusive blend of important ingredients found in breast milk: DHA, Lutein, and Vitamin E

* Ingredients not genetically engineered
",container, Case of 4                ,1.45,lb
Similac Pro-Advance Infant Formula Ready-to-Feed,$57.49,In stock,SKU#:64248,"Similac Pro-Advance is the first infant formula with 2’-FL Human Milk Oligosaccharide*, designed to be closer than ever to breast milk.
• Similac with 2-FL Human Milk Oligosaccharide helps support baby’s developing immune system by closing multiple gaps in immune function† between formula-fed and breastfed infants
• Unlike other formulas, Similac has 2’-FL HMO, a prebiotic that circulates throughout the body
• All ingredients are carefully selected to meet our high standards and are NON-GMO‡
• From Birth – 12 months; complete nutrition for your baby’s first year
• Features OptiGRO™, an exclusive blend of DHA, Lutein, and Vitamin E - important ingredients found in breast milk
*Not from human milk
†As measured in blood samples in a clinical study
‡Ingredients not genetically engineered
",bottle, Case of 6                ,1,QT
Similac Sensitive For Neuro Support NON-GMO Infant Formula Powder,$180.99,In stock,SKU#:64246,"FOR LACTOSE SENSITIVITY: A gentle formula designed to ease baby’s fussiness and gas due to lactose sensitivity. Not for infants or children with galactosemia
NEURO SUPPORT: Has our exclusive blend of DHA, Lutein, and Vitamin E to help support brain & eye development
TRUSTED FORMULA: Similac—the #1 infant formula brand and the #1 brand chosen by moms*
NO ARTIFICIAL GROWTH HORMONES: Similac is the first leading infant formula brand with no artificial growth hormones†
NON-GMO‡: Similac Sensitive for Neuro Support has ingredients that are not genetically engineered

Similac Sensitive for Neuro Support is an easy-to-digest, milk-based formula specially designed for sensitive tummies. It’s complete nutrition for baby’s first year and has our exclusive blend of DHA, Lutein, and Vitamin E to help support your baby’s brain & eye development. All from the brand trusted by moms for more than 90 years. Similac Sensitive is non-GMO‡ and has no artificial growth hormones.†
* Total US infant formula, all outlets as of 12/2018, Nielsen data.
† No significant difference has been shown between milk derived from rbST-treated and non-rbST-treated cows.
‡ Ingredients not genetically engineered.
",container, Case of 6                ,1.41,lb
Similac Sensitive Infant Formula  Ready-to-Feed,$52.49,In stock,SKU#:5367678,"Complete Nutrition for Sensitive Tummies, featuring OptiGRO™, an exclusive blend of brain & eye nourishing nutrients for baby’s development.
• For fussiness and gas due to lactose sensitivity* (*Typical Value 0.1g lactose/100 kcal compared to Similac Advance, 11g lactose /100 kcal)
• Easy to digest, milk-based*
*Not for infants with galactosemia.
",bottle, Case of 24                ,8,oz
Similac Sensitive Infant Formula  Ready-to-Feed,$45.99,In stock,SKU#:5753378,"Complete Nutrition for Sensitive Tummies, featuring OptiGRO™, an exclusive blend of brain & eye nourishing nutrients for baby’s development.
• For fussiness and gas due to lactose sensitivity* (*Typical Value 0.1g lactose/100 kcal compared to Similac Advance, 11g lactose /100 kcal)
• Easy to digest, milk-based*
*Not for infants with galactosemia.
",bottle, Case of 6                ,1,QT
Similac Sensitive Infant Formula  Powder,$218.49,In stock,SKU#:62951,"Complete Nutrition for Sensitive Tummies, featuring OptiGRO™, an exclusive blend of brain & eye nourishing nutrients for baby’s development.
• For fussiness and gas due to lactose sensitivity* (*Typical Value 0.1g lactose/100 kcal compared to Similac Advance, 11g lactose /100 kcal)
• Easy to digest, milk-based*
*Not for infants with galactosemia.
",can, Case of 6                ,29.8,oz
Similac Sensitive Infant Formula  Powder,$111.49,In stock,SKU#:5753978,"Complete Nutrition for Sensitive Tummies, featuring OptiGRO™, an exclusive blend of brain & eye nourishing nutrients for baby’s development.
• For fussiness and gas due to lactose sensitivity* (*Typical Value 0.1g lactose/100 kcal compared to Similac Advance, 11g lactose /100 kcal)
• Easy to digest, milk-based*
*Not for infants with galactosemia.
",can, Case of 6                ,12,oz
Similac Sensitive Infant Formula  Powder,$172.49,In stock,SKU#:5081776,"Complete Nutrition for Sensitive Tummies, featuring OptiGRO™, an exclusive blend of brain & eye nourishing nutrients for baby’s development.
• For fussiness and gas due to lactose sensitivity* (*Typical Value 0.1g lactose/100 kcal compared to Similac Advance, 11g lactose /100 kcal)
• Easy to digest, milk-based
• Features OptiGRO, an exclusive blend of important ingredients found in breast milk: DHA, Lutein, and Vitamin E
*Not for infants with galactosemia.
",container, Case of 6                ,1.41,lb
Similac Sensitive Infant Formula Concentrated Liquid,$70.49,In stock,SKU#:5753578,"Complete Nutrition for Sensitive Tummies, featuring OptiGRO™, an exclusive blend of brain & eye nourishing nutrients for baby’s development.
• For fussiness and gas due to lactose sensitivity* (*Typical Value 0.1g lactose/100 kcal compared to Similac Advance, 11g lactose /100 kcal)
• Easy to digest, milk-based*
*Not for infants with galactosemia.
",can, Case of 12                 ,13,oz
Similac Pro-Sensitive Infant Formula Powder,$134.99,In stock,SKU#:66084,"Similac Pro-Sensitive is the first infant formula for sensitive tummies with 2-FL Human Milk Oligosaccharide* (HMO), an immune nourishing prebiotic previously only found† in breast milk.
• Similac with 2-FL Human Milk Oligosaccharide helps support baby’s developing immune system by closing multiple gaps in immune function‡ between formula-fed and breastfed infants.
• Unlike other formulas, Similac has 2-FL HMO, a prebiotic that circulates throughout the body
• All ingredients are carefully selected to meet our high standards and are Non-GMO§
• From Birth – 12 months; Complete nutrition for your baby’s first year
• Features OptiGRO™, an exclusive blend of DHA, Lutein, and Vitamin E - important ingredients found in breast milk

*Not from human milk
†at significant levels
‡As measured in blood samples in a clinical study
§Ingredients not genetically engineered
",container, Case of 4                ,1.41,lb
Similac Pro-Advance Infant Formula Powder,$134.99,In stock,SKU#:66081,"Similac Pro-Advance is the first infant formula with 2’-FL Human Milk Oligosaccharide*, designed to be closer than ever to breast milk.
• Similac with 2-FL Human Milk Oligosaccharide helps support baby’s developing immune system by closing multiple gaps in immune function† between formula-fed and breastfed infants.
• Unlike other formulas, Similac has 2’-FL HMO, a prebiotic that circulates throughout the body
• All ingredients are carefully selected to meet our high standards and are NON-GMO‡
• From Birth – 12 months; complete nutrition for your baby’s first year
• Features OptiGRO™, an exclusive blend of DHA, Lutein, and Vitamin E - important ingredients found in breast milk
*Not from human milk
†As measured in blood samples in a clinical study
‡Ingredients not genetically engineered
",container, Case of 4                ,1.45,lb
Similac Premature Nipple and Ring,$173.00,In stock,SKU#:00094,"For preterm infants with less developed sucking strength. Latex-free.
Features:
• Nipples and rings individually prepackaged and ready for use.
• Nipples and rings form a seal to prevent leakage during feeding.
• Disposable—not for reuse.
• Easy to use.
Precautions:
• DO NOT use as a pacifier, as it presents a choking hazard.
• DO NOT reuse, as reuse can cause deterioration or separation of the rubber, presenting a choking hazard.
• Keep out of reach of children.
",,,,
Similac Premature Nipple and Ring,$48.99,In stock,SKU#:53557,"For preterm infants with less developed sucking strength. Latex-free.
 Features:
• Nipples and rings individually prepackaged and ready for use.
• Nipples and rings form a seal to prevent leakage during feeding.
• Disposable—not for reuse.
• Easy to use.
Precautions:
• DO NOT use as a pacifier, as it presents a choking hazard.
• DO NOT reuse, as reuse can cause deterioration or separation of the rubber, presenting a choking hazard.
• Keep out of reach of children.
",,,,
Similac PM 60/40 Infant Formula Powder,$93.00,In stock,SKU#:00850,"For infants who would benefit from lowered mineral intake, including those with impaired renal function. Calcium-to-phosphorus ratio and content designed to manage serum calcium disorders - both hypercalcemia and hypocalcemia due to hyperphosphatemia. Not for IV use. For oral or tubefeeding. Use under medical supervision.
",can, Case of 6                ,14.1,oz
Similac Orthodontic Nipple and Ring,$54.25,In stock,SKU#:53560,"For newborn infants, to stimulate oral exercise while feeding. Contains Latex.
Features:
• Nipples and rings individually prepackaged and ready for use.
• Nipples and rings form a seal to prevent leakage during feeding.
• Disposable – not for reuse.
• Easy to use.
Precautions:
• DO NOT use as a pacifier, as it presents a choking hazard.
• DO NOT reuse, as reuse can cause deterioration or separation of the rubber, presenting a choking hazard.
• Keep out of reach of children
",,,,
Similac Orthodontic Nipple and Ring,$173.00,In stock,SKU#:50512,"For newborn infants, to stimulate oral exercise while feeding. Contains Latex.
Features:
• Nipples and rings individually prepackaged and ready for use.
• Nipples and rings form a seal to prevent leakage during feeding.
• Disposable – not for reuse.
• Easy to use.
Precautions:
• DO NOT use as a pacifier, as it presents a choking hazard.
• DO NOT reuse, as reuse can cause deterioration or separation of the rubber, presenting a choking hazard.
• Keep out of reach of children
",,,,
Similac NeoSure Infant Formula Ready-to-Feed,$58.49,In stock,SKU#:5745578,"A 22 Cal/fl oz, nutrient-enriched* formula for babies who were born prematurely.  Similac NeoSure is clinically shown to promote excellent catch-up growth during the first year.1 

Has increased protein, vitamins, and minerals compared to term infant formula
Has increased calories for growth
Calcium and phosphorus for baby’s growing bones
Features OptiGRO, our exclusive blend of important ingredients found in breast milk:  DHA, Lutein, and Vitamin E
Easy-to-digest, milk-based formula

* Increased protein, vitamins, and minerals compared to term infant formula.

1 Carver JD, et al. Pediatrics. 2001;107:683-689.
",bottle, Case of 6                ,1,QT
Similac NeoSure Infant Formula Powder,$124.99,In stock,SKU#:5743076,"A 22 Cal/fl oz, nutrient-enriched* formula for babies who were born prematurely.  Similac NeoSure is clinically shown to promote excellent catch-up growth during the first year.1 

Has increased protein, vitamins, and minerals compared to term infant formula
Has increased calories for growth
Calcium and phosphorus for baby’s growing bones
Features OptiGRO, our exclusive blend of important ingredients found in breast milk:  DHA, Lutein, and Vitamin E
Easy-to-digest, milk-based formula

* Increased protein, vitamins, and minerals compared to term infant formula.

1 Carver JD, et al. Pediatrics. 2001;107:683-689.
",can, Case of 6                ,13.1,oz
Similac Infant Nipple and Ring,$173.00,In stock,SKU#:00079,"For infants with developed sucking strength. Latex-free.
Features:
• Nipples and rings individually prepackaged and ready for use.
• Nipples and rings form a seal to prevent leakage during feeding.
• Disposable – not for reuse.
• Easy to use.
Precautions: 
• DO NOT use as a pacifier, as it presents a choking hazard.
• DO NOT reuse, as reuse can cause deterioration or separation of the rubber, presenting a choking hazard.
• Keep out of reach of children.
",,,,
Similac Human Milk Fortifier Powder,$162.99,In stock,SKU#:54598,"Similac Human Milk Fortifier Powder is intended for premature and low-birth-weight infants as a nutritional supplement to add to human milk.
Use under medical supervision. Consult your healthcare professional (physician, nurse, or dietitian) for usage instructions. Additional Iron may be necessary.
Features:
• Halal
• Kosher
• Gluten-free

Precautions:
• Add only to human milk - do not add water.
• Never use a microwave oven to warm feedings. Serious burns can result.
• Use under medical supervision.
Contains milk and soy ingredients
",g, Case of 150                ,0.9,0.9
Go & Grow by Similac Sensitive NON-GMO Toddler Drink Powder,$85.99,In stock,SKU#:64790,"Go & Grow by Similac Sensitive NON-GMO is a milk-based toddler drink that helps balance your toddler's diet while you introduce new foods.
• Complement to Toddler Nutrition for toddlers from 12-24 months
• Features OptiGRO, an exclusive blend of DHA, Lutein and Vitamin E, like those found in foods kids won't eat (fish, spinach, broccoli)
• One serving has over 25 essential vitamins and minerals and at least 30% of the daily value of iron, calcium and vitamins C and E
• Just mix with water in a sippy cup or bottle
• NON-GMO*
• Gluten-free
• Kosher, Halal
Not for children with galactosemia
*Ingredients not genetically engineered
",can, Case of 4                ,1.46,lb
Similac For Spit-Up Infant Formula Powder,$105.49,In stock,SKU#:5095976,"Help your baby spit up less frequently with easy-to-digest Similac For Spit-Up. Clinically shown to reduce the frequency of spit-up by 54%*. Similac For Spit-Up also has OptiGRO™ a unique blend of DHA Lutein and vitamin E that supports the developing eyes and brain.
• Easy-to-digest formula with added rice starch
Not for infants or children with galactosemia.

*Among healthy 2-month-old infants when compared with standard formula.
",can, Case of 6                ,12,oz
Similac For Spit-Up Infant Formula Powder,$185.49,BACKORDER,SKU#:5372976,"Help your baby spit-up less frequently with easy-to-digest Similac For Spit-Up. Clinically shown to reduce the frequency of spit-up by 54%*. Similac For Spit-Up also has OptiGRO™ a unique blend of DHA Lutein and vitamin E that supports the developing eyes and brain.
• Easy-to-digest formula with added rice starch
Not for infants or children with galactosemia.

*Among healthy 2-month-old infants when compared with standard formula.
",container, Case of 6                ,1.41,lb
Similac Alimentum Infant Formula Ready-to-Feed,$71.99,In stock,SKU#:57512,"A nutritionally complete, hypoallergenic formula for infants, including those with colic symptoms due to protein sensitivity. Similac Alimentum starts reducing colic symptoms due to protein sensitivity within 24 hours in most infants.*
*Based on a clinical study with Similac Alimentum Ready to Feed without DHA and ARA in a small group of infants experiencing colic symptoms due to cow’s milk protein sensitivity. Data on File, Study AC84, August 2004. Abbott Nutrition, Columbus, Ohio.
",bottle, Case of 6                ,1,QT
Similac CustomFeed Breast Milk Storage Bottle,$9.00,In stock,SKU#:64381,"Individually packed (polypropylene) plastic bottle and cap for use when storing breast milk.
",bottle, 10-pack                ,60,mL
Similac CustomFeed Breast Milk Storage Bottle,$75.00,In stock,SKU#:64125,"Individually packed (polypropylene) plastic bottle and cap for use when storing breast milk.
",bottle, Case of 100                ,60,mL
Cooler Insert with 2 Freezable Ice Packs,$9.00,In stock,SKU#:53568,"Insulated cooler insert with 2 re-freezable ice packs.
",,,,
Similac Breast Milk Storage Bottles and Caps,$136.99,In stock,SKU#:51950,"Individually packed (polypropylene) plastic bottle and cap for use when storing breast milk.
",bottle, Case of 144                ,4,oz
Similac Breast Milk Storage Bottles and Caps,$17.99,In stock,SKU#:53572,"Individually packed (polypropylene) plastic bottle and cap for use when storing breast milk.
",bottle, Case of 12                 ,4,oz
Similac Breast Milk Storage Bottle Caps,$75.00,In stock,SKU#:54080,"Plastic bottle caps. These 40-mm plastic bottle caps fit on 4-fl-oz breast milk storage bottles, the 8-fl-oz plastic bottles, and Volu-Feed Nurser.
",250,,Case,of
Similac Alimentum Infant Formula Ready-to-Feed,$78.49,In stock,SKU#:57508,"A nutritionally complete, hypoallergenic formula for infants, including those with colic symptoms due to protein sensitivity. Similac Alimentum starts reducing colic symptoms due to protein sensitivity within 24 hours in most infants.*
*Based on a clinical study with Similac Alimentum Ready to Feed without DHA and ARA in a small group of infants experiencing colic symptoms due to cow’s milk protein sensitivity. Data on File, Study AC84, August 2004. Abbott Nutrition, Columbus, Ohio.
",can, Case of 24                ,8,oz
Similac Alimentum Infant Formula Ready-to-Feed,$52.99,In stock,SKU#:59738,"A nutritionally complete, hypoallergenic formula for infants, including those with colic symptoms due to protein sensitivity. Similac Alimentum starts reducing colic symptoms due to protein sensitivity within 24 hours in most infants.*
*Based on a clinical study with Similac Alimentum Ready to Feed without DHA and ARA in a small group of infants experiencing colic symptoms due to cow’s milk protein sensitivity. Data on File, Study AC84, August 2004. Abbott Nutrition, Columbus, Ohio.
",bottle, Case of 48                ,2,oz
Similac Alimentum Infant Formula Powder,$171.99,In stock,SKU#:64715,"A nutritionally complete, hypoallergenic formula for infants, including those with colic symptoms due to protein sensitivity. Similac Alimentum starts reducing colic symptoms due to protein sensitivity within 24 hours in most infants.*
*Based on a clinical study with Similac Alimentum Ready to Feed without DHA and ARA in a small group of infants experiencing colic symptoms due to cow’s milk protein sensitivity. Data on File, Study AC84, August 2004. Abbott Nutrition, Columbus, Ohio.
",can, Case of 6                ,12.1,oz
Similac Alimentum Infant Formula Powder,$171.49,In stock,SKU#:64719,"New Value Size makes 12 more 4 fl oz bottles*
Similac Alimentum is a nutritionally complete, hypoallergenic formula for infants with severe food allergies, including those with colic symptoms due to protein sensitivity  
Contains a predigested milk protein that is broken down into tiny pieces to virtually eliminate allergic reactions in most babies who are allergic to cow’s milk protein
Starts reducing excessive crying due to cow’s milk protein sensitivity in most infants within 24 hours** (**based on a clinical study with Similac Alimentum Ready-to-Feed without DHA/ARA in a small group of infants experiencing colic symptoms due to cow’s milk protein sensitivity. Data on File, Study
Includes DHA and ARA, special nutrients found in breast milk that are important for helping support brain and eye development

Similac Alimentum is a nutritionally complete, hypoallergenic formula for infants with severe food allergies, including those with colic symptoms due to protein sensitivity. Alimentum contains a predigested milk protein that is broken down into tiny pieces to virtually eliminate allergic reactions in most babies who are allergic to cow’s milk protein.
Now in a new value size that has over 60% more!***
*As compared to Alimentum 12.1 oz powder
***63% more product as compared to Alimentum 12.1 oz powder
",can, Case of 4                ,19.8,oz
Similac Advance for Neuro Support Non-GMO Infant Formula Powder,$185.99,In stock,SKU#:64242,"NEURO SUPPORT: Has our exclusive blend of DHA, Lutein, and Vitamin E to help support brain & eye development
TRUSTED FORMULA: Similac—the #1 infant formula brand and the #1 brand chosen by moms*
NO ARTIFICIAL GROWTH HORMONES: Similac is the first leading infant formula brand with no artificial growth hormones†
NON-GMO‡: Similac Sensitive for Neuro Support has ingredients that are not genetically engineered

Similac Advance for Neuro Support has our exclusive blend of DHA, Lutein, and Vitamin E to help support your baby’s brain & eye development. It’s complete nutrition for your baby’s first year from the brand trusted by moms for more than 90 years. Similac Advance is non-GMO‡ and has no artificial growth hormones.†
* Total US infant formula, all outlets as of 12/2018, Nielsen data.
† No significant difference has been shown between milk derived from rbST-treated and non-rbST-treated cows.
‡ Ingredients not genetically engineered.
",container, Case of 6                ,1.45,lb
Similac Advance Infant Formula Powder,$218.49,In stock,SKU#:58585,"Similac Advance is designed to support your baby’s developing brain, eyes, immune system and to help build strong bones.
• From Birth - 12 months
• Complete nutrition for your baby’s first year
• Features OptiGRO, our exclusive blend of DHA Lutein, and Vitamin E
",can, Case of 6                ,30.8,oz
Similac Advance Infant Formula Powder,$111.49,In stock,SKU#:5595776,"Similac Advance is designed to support your baby’s developing brain, eyes, immune system and to help build strong bones.
• From Birth - 12 months
• Complete nutrition for your baby’s first year
• Features OptiGRO, our exclusive blend of DHA Lutein, and Vitamin E
",can, Case of 6                ,12.4,oz
Similac Advance Infant Formula Powder,$172.49,In stock,SKU#:53359,"Similac Advance is designed to support your baby’s developing brain, eyes, immune system and to help build strong bones.
• From Birth - 12 months
• Complete nutrition for your baby’s first year
• Features OptiGRO, our exclusive blend of DHA, Lutein, and Vitamin E
",container, Case of 6                ,1.45,lb
Similac Organic Infant Formula Powder,$198.49,In stock,SKU#:5082178,"Similac Organic is designed to support your baby’s developing brain, eyes, immune system and to help build strong bones.
• For infants from birth - 12 months
• Complete nutrition for your baby’s first year
• Features OptiGRO, our exclusive blend of DHA Lutein, and Vitamin E
• Certified USDA Organic
• Made with wholesome organic milk and other organic ingredients
",container, Case of 6                ,1.45,lb
Similac Advance Infant Formula Concentrated Liquid,$72.99,In stock,SKU#:5697378,"Similac Advance is designed to support your baby’s developing brain, eyes, immune system and to help build strong bones.
• From Birth - 12 months
• Complete nutrition for your baby’s first year
• Features OptiGRO, our exclusive blend of DHA Lutein, and Vitamin E
",can, Case of 12                 ,13,oz
Similac Advance Infant Formula Ready-to-Feed,$57.49,In stock,SKU#:5860578,"Similac Advance is designed to support your baby’s developing brain, eyes, immune system and to help build strong bones.
• From Birth - 12 months
• Complete nutrition for your baby’s first year
• Features OptiGRO, our exclusive blend of DHA Lutein, and Vitamin E
",bottle, Case of 24                ,8,oz
Similac Advance Infant Formula Ready-to-Feed,$45.99,In stock,SKU#:53363,"Similac Advance is designed to support your baby’s developing brain, eyes, immune system and to help build strong bones.
• From Birth - 12 months
• Complete nutrition for your baby’s first year
• Features OptiGRO, our exclusive blend of DHA Lutein, and Vitamin E
",bottle, Case of 6                ,1,QT
Similac 10% Glucose Water,$115.99,In stock,SKU#:51004,"For initial or supplemental feeding as directed by physician. For oral use only.  Do not store at extreme temperatures.
",bottle, Case of 48                ,2,oz
Similac Pro-Advance Infant Formula Powder,$41.49,In stock,SKU#:66439e,"Similac Pro-Advance is the first infant formula with 2’-FL Human Milk Oligosaccharide* (HMO), designed to be closer than ever to breast milk.
• Similac with 2'-FL HMO helps support baby’s developing immune system by closing multiple gaps in immune function† between formula-fed and breastfed infants
• Unlike other formulas, Similac has 2’-FL HMO, a prebiotic that circulates throughout the body
• All ingredients are carefully selected to meet our high standards and are NON-GMO‡
• From Birth – 12 months; complete nutrition for your baby’s first year
• Features OptiGRO™, an exclusive blend of DHA, Lutein, and Vitamin E - important ingredients found in breast milk
*Not from human milk
†As measured in blood samples in a clinical study
‡Ingredients not genetically engineered
",can,,30.8,oz
Similac Pro-Sensitive Infant Formula Powder,$165.99,In stock,SKU#:66441,"Similac Pro-Sensitive is the first infant formula for sensitive tummies with 2'-FL Human Milk Oligosaccharide* (HMO), an immune nourishing prebiotic previously only found† in breast milk.
• Similac with 2'-FL HMO helps support baby’s developing immune system by closing multiple gaps in immune function‡ between formula-fed and breastfed infants
• Unlike other formulas, Similac has 2-FL HMO, a prebiotic that circulates throughout the body
• All ingredients are carefully selected to meet our high standards and are Non-GMO**
• From Birth – 12 months; Complete nutrition for your baby’s first year
• Features OptiGRO™, our exclusive blend of DHA, Lutein, and Vitamin E - important ingredients found in breast milk
*Not from human milk
†At significant levels
‡As measured in blood samples in a clinical study
**ingredients not genetically engineered
",can, Case of 4                ,29.8,oz
Similac Advance Infant Formula Powder,$36.49,In stock,SKU#:58585e,"Similac Advance is designed to support your baby’s developing brain, eyes, immune system and to help build strong bones.
• From Birth - 12 months
• Complete nutrition for your baby’s first year
• Features OptiGRO, our exclusive blend of DHA Lutein, and Vitamin E
",can,,30.8,oz
Similac Pro-Advance Infant Formula Ready-to-Feed,$57.96,In stock,SKU#:67436,"Similac Pro-Advance is the first infant formula with 2’-FL Human Milk Oligosaccharide*, designed to be closer than ever to breast milk.
• Similac with 2-FL Human Milk Oligosaccharide helps support baby’s developing immune system by closing multiple gaps in immune function† between formula-fed and breastfed infants
• Unlike other formulas, Similac has 2’-FL HMO, a prebiotic that circulates throughout the body
• All ingredients are carefully selected to meet our high standards and are NON-GMO‡
• From Birth - 12 months; complete nutrition for your baby’s first year
• Features OptiGRO™, an exclusive blend of DHA, Lutein, and Vitamin E - important ingredients found in breast milk
*Not from human milk
†As measured in blood samples in a clinical study
‡Ingredients not genetically engineered
",bottle, Case of 48                ,2,oz
Similac Advance Infant Formula Powder,$29.49,BACKORDER,SKU#:53359e,"Similac Advance is designed to support your baby’s developing brain, eyes, immune system and to help build strong bones.
• From Birth - 12 months.
• Complete nutrition for your baby’s first year
• Features OptiGRO, our exclusive blend of DHA, Lutein, and Vitamin E
",container,,1.45,lb
Similac Pro-Sensitive Infant Formula Ready-to-Feed,$57.96,In stock,SKU#:67438,"Similac Pro-Sensitive is the first infant formula for sensitive tummies with 2-FL Human Milk Oligosaccharide* (HMO), an immune nourishing prebiotic previously only found† in breast milk.
• Similac with 2-FL Human Milk Oligosaccharide helps support baby’s developing immune system by closing multiple gaps in immune function‡ between formula-fed and breastfed infants.
• Unlike other formulas, Similac has 2-FL HMO, a prebiotic that circulates throughout the body
• All ingredients are carefully selected to meet our high standards and are Non-GMO§
• From Birth – 12 months; Complete nutrition for your baby’s first year
• Features OptiGRO™, an exclusive blend of DHA, Lutein, and Vitamin E - important ingredients found in breast milk

*Not from human milk
†At significant levels
‡As measured in blood samples in a clinical study
§Ingredients not genetically engineered


SKU 67438
",bottle, Case of 48                ,2,oz
Similac NeoSure Infant Formula Powder,$33.50,BACKORDER,SKU#:66923e,"A 22 Cal/fl oz, nutrient-enriched* formula for babies who were born prematurely.  Similac NeoSure is clinically shown to promote excellent catch-up growth during the first year.1 

Has increased protein, vitamins, and minerals compared to term infant formula
Has increased calories for growth
Calcium and phosphorus for baby’s growing bones
Features OptiGRO, our exclusive blend of important ingredients found in breast milk:  DHA, Lutein, and Vitamin E
Easy-to-digest, milk-based formula

* Increased protein, vitamins, and minerals compared to term infant formula.
1 Carver JD, et al. Pediatrics. 2001;107:683-689.
",can,,22.8,oz
Similac NeoSure Infant Formula Ready-to-Feed,$64.44,In stock,SKU#:67442,"A 22 Cal/fl oz, nutrient-enriched* formula for babies who were born prematurely.  Similac NeoSure is clinically shown to promote excellent catch-up growth during the first year.1 

Has increased protein, vitamins, and minerals compared to term infant formula
Has increased calories for growth
Calcium and phosphorus for baby’s growing bones
Features OptiGRO, our exclusive blend of important ingredients found in breast milk:  DHA, Lutein, and Vitamin E
Easy-to-digest, milk-based formula

* Increased protein, vitamins, and minerals compared to term infant formula.
1 Carver JD, et al. Pediatrics. 2001;107:683-689.

SKU # 67442
",bottle, Case of 48                ,2,oz
"Sorry, we couldn’t find that page.",,,,,,,,
Similac Organic Infant Formula Ready-to-Feed,$51.99,BACKORDER,SKU#:56525,"Similac Organic is designed to support your baby’s developing brain, eyes, immune system and to help build strong bones.
• For infants from birth - 12 months
• Complete nutrition for your baby’s first year
• Features OptiGRO, our exclusive blend of DHA, Lutein, and Vitamin E
• Certified USDA Organic
• Made with wholesome organic milk and other organic ingredients
",bottle, Case of 48                ,2,oz
