item_id,vitamin,measure,value,perc_daily_recom,vit
57269,,,,20.0,Vitamin K :
57269,,,,25.0,Thiamin :
57269,,,,25.0,Riboflavin :
57269,,,,45.0,Niacin :
57269,,,,25.0,Vitamin B6 :
57269,,,,25.0,Folate :
57269,, mcg , 60,,Folic Acid
57269,,,,25.0,Vitamin B12 :
57269,,,,25.0,Biotin :
57269,,,,25.0,Pantothenic Acid :
57269,,,,25.0,Choline :
57263,, mcg , 8,40.0,Vitamin D
57263,,,,25.0,Vitamin A :
57263,,,,50.0,Vitamin C :
57263,,,,50.0,Vitamin E :
57263,,,,20.0,Vitamin K :
57263,,,,25.0,Thiamin :
57263,,,,25.0,Riboflavin :
57263,,,,45.0,Niacin :
57263,,,,25.0,Vitamin B6 :
57263,,,,25.0,Folate :
57263,, mcg , 60,,Folic Acid
57263,,,,25.0,Vitamin B12 :
57263,,,,25.0,Biotin :
57263,,,,25.0,Pantothenic Acid :
57263,,,,25.0,Choline :
64121,, mcg , 1.5,8.0,Vitamin D
64121,,,,25.0,Vitamin A :
64121,,,,20.0,Vitamin C :
64121,,,,25.0,Vitamin E :
64121,,,,15.0,Vitamin K :
64121,,,,25.0,Thiamin :
64121,,,,25.0,Riboflavin :
64121,,,,40.0,Niacin :
64121,,,,20.0,Vitamin B6 :
64121,,,,70.0,Folate :
64121,, mcg , 160,,Folic Acid
64121,,,,40.0,Vitamin B12 :
64121,,,,150.0,Biotin :
64121,,,,30.0,Pantothenic Acid :
64123,, mcg , 1.5,8.0,Vitamin D
64123,,,,25.0,Vitamin A :
64123,,,,20.0,Vitamin C :
64123,,,,25.0,Vitamin E :
64123,,,,15.0,Vitamin K :
64123,,,,25.0,Thiamin :
64123,,,,25.0,Riboflavin :
64123,,,,40.0,Niacin :
64123,,,,20.0,Vitamin B6 :
64123,,,,70.0,Folate :
64123,, mcg , 160,,Folic Acid
64123,,,,40.0,Vitamin B12 :
64123,,,,150.0,Biotin :
64123,,,,40.0,Pantothenic Acid :
57272,, mcg , 8,40.0,Vitamin D
57272,,,,25.0,Vitamin A :
57272,,,,50.0,Vitamin C :
57272,,,,50.0,Vitamin E :
57272,,,,20.0,Vitamin K :
57272,,,,25.0,Thiamin :
57272,,,,25.0,Riboflavin :
57272,,,,45.0,Niacin :
57272,,,,25.0,Vitamin B6 :
57272,,,,25.0,Folate :
57272,, mcg , 60,,Folic Acid
57272,,,,25.0,Vitamin B12 :
57272,,,,25.0,Biotin :
57272,,,,25.0,Pantothenic Acid :
57272,,,,25.0,Choline :
64293,, mcg , 12,60.0,Vitamin D
64293,,,,25.0,Vitamin A :
64293,,,,70.0,Vitamin C :
64293,,,,100.0,Vitamin E :
64293,,,,20.0,Vitamin K :
64293,,,,40.0,Thiamin :
64293,,,,40.0,Riboflavin :
64293,,,,50.0,Niacin :
64293,,,,40.0,Vitamin B6 :
64293,,,,40.0,Folate :
64293,, mcg , 96,,Folic Acid
64293,,,,40.0,Vitamin B12 :
64293,,,,40.0,Biotin :
64293,,,,40.0,Pantothenic Acid :
64293,,,,25.0,Choline :
64296,, mcg , 12,60.0,Vitamin D
64296,,,,25.0,Vitamin A :
64296,,,,70.0,Vitamin C :
64296,,,,100.0,Vitamin E :
64296,,,,20.0,Vitamin K :
64296,,,,40.0,Thiamin :
64296,,,,40.0,Riboflavin :
64296,,,,50.0,Niacin :
64296,,,,40.0,Vitamin B6 :
64296,,,,40.0,Folate :
64296,, mcg , 96,,Folic Acid
64296,,,,40.0,Vitamin B12 :
64296,,,,40.0,Biotin :
64296,,,,40.0,Pantothenic Acid :
64296,,,,25.0,Choline :
64291,, mcg , 12,60.0,Vitamin D
64291,,,,25.0,Vitamin A :
64291,,,,70.0,Vitamin C :
64291,,,,100.0,Vitamin E :
64291,,,,20.0,Vitamin K :
64291,,,,40.0,Thiamin :
64291,,,,40.0,Riboflavin :
64291,,,,50.0,Niacin :
64291,,,,40.0,Vitamin B6 :
64291,,,,40.0,Folate :
64291,, mcg , 96,,Folic Acid
64291,,,,40.0,Vitamin B12 :
64291,,,,40.0,Biotin :
64291,,,,40.0,Pantothenic Acid :
64291,,,,25.0,Choline :
66437p4,, mcg , 11,20,Selenium
66437p4,, mg , 3,25,Zinc
65044,, mcg , 11,20,Selenium
65044,, mg , 3,25,Zinc
66436,, mcg RAE , 450,,Vitamin A
66436,, mcg , 500,,Beta-Carotene
66436,, mcg , 5,,Vitamin D
66436,, mg , 8,,Vitamin E
66436,, mcg , 24,,Vitamin K
66436,, mg , 23,,Vitamin C
66436,, mcg DFE , 142,,Folate
66436,, mcg , 85,,Folic Acid
66436,, mg , 0.48,,Thiamin (Vitamin B1)
66436,, mg , 0.65,,Riboflavin (Vitamin B2)
66436,, mg , 0.68,,Vitamin B6
66436,, mcg , 0.72,,Vitamin B12
66436,, mg NE , 6.4,,Niacin
66436,, mg , 82.5,,Choline
66436,, mcg , 11,,Biotin
66436,, mg , 2.7,,Pantothenic Acid
65047,, mcg RAE , 450,,Vitamin A
65047,, mcg , 500,,Beta-Carotene
65047,, mcg , 5,,Vitamin D
65047,, mg , 8,,Vitamin E
65047,, mcg , 24,,Vitamin K
65047,, mg , 23,,Vitamin C
65047,, mcg DFE , 142,,Folate
65047,, mcg , 85,,Folic Acid
65047,, mg , 0.48,,Thiamin (Vitamin B1)
65047,, mg , 0.65,,Riboflavin (Vitamin B2)
65047,, mg , 0.68,,Vitamin B6
65047,, mcg , 0.72,,Vitamin B12
65047,, mg NE , 6.4,,Niacin
65047,, mg , 82.5,,Choline
65047,, mcg , 11,,Biotin
65047,, mg , 2.7,,Pantothenic Acid
67453,, mcg , 10,50.0,Vitamin D
67453,,,,25.0,Vitamin A :
67453,,,,50.0,Vitamin C :
67453,,,,25.0,Vitamin E :
67453,,,,30.0,Vitamin K :
67453,,,,40.0,Thiamin :
67453,,,,25.0,Riboflavin :
67453,,,,25.0,Niacin :
67453,,,,25.0,Vitamin B6 :
67453,,,,25.0,Folate :
67453,, mcg , 60,,Folic Acid
67453,,,,25.0,Vitamin B12 :
67453,,,,25.0,Biotin :
67453,,,,25.0,Pantothenic Acid :
67453,,,,25.0,Choline :
67450,, mcg , 10,50.0,Vitamin D
67450,,,,25.0,Vitamin A :
67450,,,,50.0,Vitamin C :
67450,,,,25.0,Vitamin E :
67450,,,,30.0,Vitamin K :
67450,,,,40.0,Thiamin :
67450,,,,25.0,Riboflavin :
67450,,,,25.0,Niacin :
67450,,,,25.0,Vitamin B6 :
67450,,,,25.0,Folate :
67450,, mcg , 60,,Folic Acid
67450,,,,25.0,Vitamin B12 :
67450,,,,25.0,Biotin :
67450,,,,25.0,Pantothenic Acid :
67450,,,,25.0,Choline :
67475,, mg , 370,8,Potassium
67475,, mg , 840,35,Chloride
67472,, mg , 370,8,Potassium
67472,, mg , 840,35,Chloride
54844,, mcg , 1,6.0,Vitamin D
54844,,,,15.0,Vitamin A :
54844,,,,10.0,Vitamin C :
54844,,,,25.0,Vitamin E :
54844,,,,10.0,Vitamin K :
54844,,,,20.0,Thiamin :
54844,,,,20.0,Riboflavin :
54844,,,,15.0,Niacin :
54844,,,,20.0,Vitamin B6 :
54844,,,,25.0,Folate :
54844,, mcg , 60,,Folic Acid
54844,,,,25.0,Vitamin B12 :
54844,,,,150.0,Biotin :
54844,,,,30.0,Pantothenic Acid :
54846,, mcg , 1,6.0,Vitamin D
54846,,,,15.0,Vitamin A :
54846,,,,10.0,Vitamin C :
54846,,,,25.0,Vitamin E :
54846,,,,10.0,Vitamin K :
54846,,,,15.0,Thiamin :
54846,,,,20.0,Riboflavin :
54846,,,,20.0,Niacin :
54846,,,,20.0,Vitamin B6 :
54846,,,,25.0,Folate :
54846,, mcg , 60,,Folic Acid
54846,,,,25.0,Vitamin B12 :
54846,,,,150.0,Biotin :
54846,,,,35.0,Pantothenic Acid :
67217,, mcg , 6,30.0,Vitamin D
67217,,,,15.0,Vitamin A :
67217,,,,20.0,Vitamin C :
67217,,,,20.0,Vitamin E :
67217,,,,15.0,Vitamin K :
67217,,,,30.0,Thiamin :
67217,,,,50.0,Riboflavin :
67217,,,,30.0,Niacin :
67217,,,,40.0,Vitamin B6 :
67217,,,,30.0,Folate :
67217,, mcg , 72,,Folic Acid
67217,,,,10.0,Vitamin B12 :
67217,,,,30.0,Biotin :
67217,,,,50.0,Pantothenic Acid :
67217,,,,10.0,Choline :
67214,, mcg , 6,30.0,Vitamin D
67214,,,,15.0,Vitamin A :
67214,,,,20.0,Vitamin C :
67214,,,,20.0,Vitamin E :
67214,,,,15.0,Vitamin K :
67214,,,,30.0,Thiamin :
67214,,,,50.0,Riboflavin :
67214,,,,30.0,Niacin :
67214,,,,40.0,Vitamin B6 :
67214,,,,30.0,Folate :
67214,, mcg , 72,,Folic Acid
67214,,,,10.0,Vitamin B12 :
67214,,,,30.0,Biotin :
67214,,,,50.0,Pantothenic Acid :
67214,,,,10.0,Choline :
58049,, mcg , 6,30.0,Vitamin D
58049,,,,15.0,Vitamin A :
58049,,,,25.0,Vitamin C :
58049,,,,20.0,Vitamin E :
58049,,,,15.0,Vitamin K :
58049,,,,25.0,Thiamin :
58049,,,,25.0,Riboflavin :
58049,,,,20.0,Niacin :
58049,,,,20.0,Vitamin B6 :
58049,,,,15.0,Folate :
58049,, mcg , 36,,Folic Acid
58049,,,,20.0,Vitamin B12 :
58049,,,,25.0,Biotin :
58049,,,,25.0,Pantothenic Acid :
58049,,,,15.0,Choline :
58055,, mcg , 6,30.0,Vitamin D
58055,,,,15.0,Vitamin A :
58055,,,,25.0,Vitamin C :
58055,,,,20.0,Vitamin E :
58055,,,,15.0,Vitamin K :
58055,,,,25.0,Thiamin :
58055,,,,25.0,Riboflavin :
58055,,,,20.0,Niacin :
58055,,,,20.0,Vitamin B6 :
58055,,,,15.0,Folate :
58055,, mcg , 36,,Folic Acid
58055,,,,20.0,Vitamin B12 :
58055,,,,25.0,Biotin :
58055,,,,25.0,Pantothenic Acid :
58055,,,,15.0,Choline :
53818,, mcg , 6,30.0,Vitamin D
53818,,,,15.0,Vitamin A :
53818,,,,25.0,Vitamin C :
53818,,,,20.0,Vitamin E :
53818,,,,15.0,Vitamin K :
53818,,,,25.0,Thiamin :
53818,,,,25.0,Riboflavin :
53818,,,,20.0,Niacin :
53818,,,,20.0,Vitamin B6 :
53818,,,,15.0,Folate :
53818,, mcg , 36,,Folic Acid
53818,,,,20.0,Vitamin B12 :
53818,,,,25.0,Biotin :
53818,,,,25.0,Pantothenic Acid :
53818,,,,15.0,Choline :
66912,, mcg , 6,30.0,Vitamin D
66912,,,,15.0,Vitamin A :
66912,,,,25.0,Vitamin C :
66912,,,,20.0,Vitamin E :
66912,,,,15.0,Vitamin K :
66912,,,,25.0,Thiamin :
66912,,,,25.0,Riboflavin :
66912,,,,20.0,Niacin :
66912,,,,20.0,Vitamin B6 :
66912,,,,15.0,Folate :
66912,, mcg , 36,,Folic Acid
66912,,,,20.0,Vitamin B12 :
66912,,,,25.0,Biotin :
66912,,,,25.0,Pantothenic Acid :
66912,,,,15.0,Choline :
58058,, mcg , 6,30.0,Vitamin D
58058,,,,15.0,Vitamin A :
58058,,,,25.0,Vitamin C :
58058,,,,20.0,Vitamin E :
58058,,,,15.0,Vitamin K :
58058,,,,25.0,Thiamin :
58058,,,,25.0,Riboflavin :
58058,,,,20.0,Niacin :
58058,,,,20.0,Vitamin B6 :
58058,,,,15.0,Folate :
58058,, mcg , 36,,Folic Acid
58058,,,,20.0,Vitamin B12 :
58058,,,,25.0,Biotin :
58058,,,,25.0,Pantothenic Acid :
58058,,,,15.0,Choline :
66639,, mcg , 6,30.0,Vitamin D
66639,,,,15.0,Vitamin A :
66639,,,,25.0,Vitamin C :
66639,,,,20.0,Vitamin E :
66639,,,,15.0,Vitamin K :
66639,,,,25.0,Thiamin :
66639,,,,25.0,Riboflavin :
66639,,,,20.0,Niacin :
66639,,,,20.0,Vitamin B6 :
66639,,,,15.0,Folate :
66639,, mcg , 36,,Folic Acid
66639,,,,20.0,Vitamin B12 :
66639,,,,25.0,Biotin :
66639,,,,25.0,Pantothenic Acid :
66639,,,,15.0,Choline :
66959e,, mcg , 3.6,20.0,Vitamin D
66959e,,,,10.0,Vitamin A :
66959e,,,,20.0,Vitamin C :
66959e,,,,10.0,Vitamin E :
66959e,,,,8.0,Vitamin K :
66959e,,,,45.0,Thiamin :
66959e,,,,30.0,Riboflavin :
66959e,,,,15.0,Niacin :
66959e,,,,25.0,Vitamin B6 :
66959e,,,,20.0,Folate :
66959e,, mcg , 45,,Folic Acid
66959e,,,,20.0,Vitamin B12 :
66959e,,,,10.0,Biotin :
66959e,,,,25.0,Pantothenic Acid :
66959e,,,,10.0,Choline :
66916,, mcg , 6,30.0,Vitamin D
66916,,,,15.0,Vitamin A :
66916,,,,25.0,Vitamin C :
66916,,,,20.0,Vitamin E :
66916,,,,15.0,Vitamin K :
66916,,,,25.0,Thiamin :
66916,,,,25.0,Riboflavin :
66916,,,,20.0,Niacin :
66916,,,,20.0,Vitamin B6 :
66916,,,,15.0,Folate :
66916,, mcg , 36,,Folic Acid
66916,,,,20.0,Vitamin B12 :
66916,,,,25.0,Biotin :
66916,,,,25.0,Pantothenic Acid :
66916,,,,15.0,Choline :
66959,, mcg , 3.6,20.0,Vitamin D
66959,,,,10.0,Vitamin A :
66959,,,,20.0,Vitamin C :
66959,,,,10.0,Vitamin E :
66959,,,,8.0,Vitamin K :
66959,,,,45.0,Thiamin :
66959,,,,30.0,Riboflavin :
66959,,,,15.0,Niacin :
66959,,,,25.0,Vitamin B6 :
66959,,,,20.0,Folate :
66959,, mcg , 45,,Folic Acid
66959,,,,20.0,Vitamin B12 :
66959,,,,10.0,Biotin :
66959,,,,25.0,Pantothenic Acid :
66959,,,,10.0,Choline :
66961e,, mcg , 3.6,20.0,Vitamin D
66961e,,,,10.0,Vitamin A :
66961e,,,,20.0,Vitamin C :
66961e,,,,10.0,Vitamin E :
66961e,,,,8.0,Vitamin K :
66961e,,,,45.0,Thiamin :
66961e,,,,30.0,Riboflavin :
66961e,,,,15.0,Niacin :
66961e,,,,25.0,Vitamin B6 :
66961e,,,,20.0,Folate :
66961e,, mcg , 45,,Folic Acid
66961e,,,,20.0,Vitamin B12 :
66961e,,,,10.0,Biotin :
66961e,,,,25.0,Pantothenic Acid :
66961e,,,,10.0,Choline :
66961,, mcg , 3.6,20.0,Vitamin D
66961,,,,10.0,Vitamin A :
66961,,,,20.0,Vitamin C :
66961,,,,10.0,Vitamin E :
66961,,,,8.0,Vitamin K :
66961,,,,45.0,Thiamin :
66961,,,,30.0,Riboflavin :
66961,,,,15.0,Niacin :
66961,,,,25.0,Vitamin B6 :
66961,,,,20.0,Folate :
66961,, mcg , 45,,Folic Acid
66961,,,,20.0,Vitamin B12 :
66961,,,,10.0,Biotin :
66961,,,,25.0,Pantothenic Acid :
66961,,,,10.0,Choline :
66960e,, mcg , 3.6,20.0,Vitamin D
66960e,,,,10.0,Vitamin A :
66960e,,,,20.0,Vitamin C :
66960e,,,,10.0,Vitamin E :
66960e,,,,8.0,Vitamin K :
66960e,,,,45.0,Thiamin :
66960e,,,,30.0,Riboflavin :
66960e,,,,15.0,Niacin :
66960e,,,,25.0,Vitamin B6 :
66960e,,,,20.0,Folate :
66960e,, mcg , 45,,Folic Acid
66960e,,,,20.0,Vitamin B12 :
66960e,,,,10.0,Biotin :
66960e,,,,25.0,Pantothenic Acid :
66960e,,,,10.0,Choline :
66960,, mcg , 3.6,20.0,Vitamin D
66960,,,,10.0,Vitamin A :
66960,,,,20.0,Vitamin C :
66960,,,,10.0,Vitamin E :
66960,,,,8.0,Vitamin K :
66960,,,,45.0,Thiamin :
66960,,,,30.0,Riboflavin :
66960,,,,15.0,Niacin :
66960,,,,25.0,Vitamin B6 :
66960,,,,20.0,Folate :
66960,, mcg , 45,,Folic Acid
66960,,,,20.0,Vitamin B12 :
66960,,,,10.0,Biotin :
66960,,,,25.0,Pantothenic Acid :
66960,,,,10.0,Choline :
66918,, mcg , 6,30.0,Vitamin D
66918,,,,15.0,Vitamin A :
66918,,,,25.0,Vitamin C :
66918,,,,20.0,Vitamin E :
66918,,,,15.0,Vitamin K :
66918,,,,25.0,Thiamin :
66918,,,,25.0,Riboflavin :
66918,,,,20.0,Niacin :
66918,,,,20.0,Vitamin B6 :
66918,,,,15.0,Folate :
66918,, mcg , 36,,Folic Acid
66918,,,,20.0,Vitamin B12 :
66918,,,,25.0,Biotin :
66918,,,,25.0,Pantothenic Acid :
66918,,,,15.0,Choline :
56368,, mcg , 6,30.0,Vitamin D
56368,,,,15.0,Vitamin A :
56368,,,,25.0,Vitamin C :
56368,,,,20.0,Vitamin E :
56368,,,,15.0,Vitamin K :
56368,,,,25.0,Thiamin :
56368,,,,25.0,Riboflavin :
56368,,,,20.0,Niacin :
56368,,,,20.0,Vitamin B6 :
56368,,,,15.0,Folate :
56368,, mcg , 36,,Folic Acid
56368,,,,20.0,Vitamin B12 :
56368,,,,25.0,Biotin :
56368,,,,25.0,Pantothenic Acid :
56368,,,,15.0,Choline :
58052,, mcg , 6,30.0,Vitamin D
58052,,,,15.0,Vitamin A :
58052,,,,25.0,Vitamin C :
58052,,,,20.0,Vitamin E :
58052,,,,15.0,Vitamin K :
58052,,,,25.0,Thiamin :
58052,,,,25.0,Riboflavin :
58052,,,,20.0,Niacin :
58052,,,,20.0,Vitamin B6 :
58052,,,,15.0,Folate :
58052,, mcg , 36,,Folic Acid
58052,,,,20.0,Vitamin B12 :
58052,,,,25.0,Biotin :
58052,,,,25.0,Pantothenic Acid :
58052,,,,15.0,Choline :
58061,, mcg , 6,30.0,Vitamin D
58061,,,,15.0,Vitamin A :
58061,,,,25.0,Vitamin C :
58061,,,,20.0,Vitamin E :
58061,,,,15.0,Vitamin K :
58061,,,,25.0,Thiamin :
58061,,,,25.0,Riboflavin :
58061,,,,20.0,Niacin :
58061,,,,20.0,Vitamin B6 :
58061,,,,15.0,Folate :
58061,, mcg , 36,,Folic Acid
58061,,,,20.0,Vitamin B12 :
58061,,,,25.0,Biotin :
58061,,,,25.0,Pantothenic Acid :
58061,,,,15.0,Choline :
67417,, mcg RAE , 200,,Vitamin A
67417,, mcg , 5.9,,Vitamin D
67417,, mg , 3.7,,Vitamin E
67417,, mcg , 24,,Vitamin K
67417,, mg , 36,,Vitamin C
67417,, mcg DFE , 180,,Folate
67417,, mcg , 107,,Folic Acid
67417,, mg , 1.0,,Thiamin (Vitamin B1)
67417,, mg , 0.80,,Riboflavin (Vitamin B2)
67417,, mg , 1.0,,Vitamin B6
67417,, mcg , 2.1,,Vitamin B12
67417,, mg NE , 7.6,,Niacin
67417,, mg , 120,,Choline
67417,, mcg , 30,,Biotin
67417,, mg , 3.6,,Pantothenic Acid
67417,, mg , 47,,Inositol
67401,, mcg RAE , 140,,Vitamin A
67401,, mcg , 6.0,,Vitamin D
67401,, mg , 3.0,,Vitamin E
67401,, mcg , 18,,Vitamin K
67401,, mg , 23,,Vitamin C
67401,, mcg DFE , 60,,Folate
67401,, mcg , 36,,Folic Acid
67401,, mg , 0.30,,Thiamin (Vitamin B1)
67401,, mg , 0.33,,Riboflavin (Vitamin B2)
67401,, mg , 0.34,,Vitamin B6
67401,, mcg , 0.48,,Vitamin B12
67401,, mg NE , 3.2,,Niacin
67401,, mg , 80,,Choline
67401,, mcg , 8.0,,Biotin
67401,, mg , 1.3,,Pantothenic Acid
67401,, mg , 20,,Inositol
67378,, mcg RAE , 140,,Vitamin A
67378,, mcg , 6.0,,Vitamin D
67378,, mg , 3.0,,Vitamin E
67378,, mcg , 18,,Vitamin K
67378,, mg , 23,,Vitamin C
67378,, mcg DFE , 60,,Folate
67378,, mcg , 36,,Folic Acid
67378,, mg , 0.30,,Thiamin (Vitamin B1)
67378,, mg , 0.33,,Riboflavin (Vitamin B2)
67378,, mg , 0.34,,Vitamin B6
67378,, mcg , 0.48,,Vitamin B12
67378,, mg NE , 3.2,,Niacin
67378,, mg , 80,,Choline
67378,, mcg , 8.0,,Biotin
67378,, mg , 1.3,,Pantothenic Acid
67378,, mg , 20,,Inositol
67403,, mcg RAE , 140,,Vitamin A
67403,, mcg , 6,,Vitamin D
67403,, mg , 3,,Vitamin E
67403,, mcg , 18,,Vitamin K
67403,, mg , 23,,Vitamin C
67403,, mcg DFE , 60,,Folate
67403,, mcg , 36,,Folic Acid
67403,, mg , 0.3,,Thiamin (Vitamin B1)
67403,, mg , 0.33,,Riboflavin (Vitamin B2)
67403,, mg , 0.34,,Vitamin B6
67403,, mcg , 0.48,,Vitamin B12
67403,, mg NE , 3.2,,Niacin
67403,, mg , 80,,Choline
67403,, mcg , 8,,Biotin
67403,, mg , 1.3,,Pantothenic Acid
67403,, mg , 20,,Inositol
67407,, mcg RAE , 140,,Vitamin A
67407,, mcg , 5.9,,Vitamin D
67407,, mg , 2.5,,Vitamin E
67407,, mcg , 16,,Vitamin K
67407,, mg , 24,,Vitamin C
67407,, mcg DFE , 120,,Folate
67407,, mcg , 71,,Folic Acid
67407,, mg , 0.60,,Thiamin (Vitamin B1)
67407,, mg , 0.50,,Riboflavin (Vitamin B2)
67407,, mg , 0.60,,Vitamin B6
67407,, mcg , 1.4,,Vitamin B12
67407,, mg NE , 5.2,,Niacin
67407,, mg , 80,,Choline
67407,, mcg , 20,,Biotin
67407,, mg , 2.4,,Pantothenic Acid
67407,, mg , 32,,Inositol
67612,, mcg RAE , 140,,Vitamin A
67612,, mcg , 6.0,,Vitamin D
67612,, mg , 3.0,,Vitamin E
67612,, mcg , 18,,Vitamin K
67612,, mg , 23,,Vitamin C
67612,, mcg DFE , 60,,Folate
67612,, mcg , 36,,Folic Acid
67612,, mg , 0.30,,Thiamin (Vitamin B1)
67612,, mg , 0.33,,Riboflavin (Vitamin B2)
67612,, mg , 0.34,,Vitamin B6
67612,, mcg , 0.48,,Vitamin B12
67612,, mg , 80,,Choline
67612,, mg NE , 3.2,,Niacin
67612,, mcg , 8,,Biotin
67612,, mg , 1.3,,Pantothenic Acid
67612,, mg , 20,,Inositol
67374,, mcg RAE , 140,,Vitamin A
67374,, mcg , 6.0,,Vitamin D
67374,, mg , 3.0,,Vitamin E
67374,, mcg , 18,,Vitamin K
67374,, mg , 23,,Vitamin C
67374,, mcg DFE , 60,,Folate
67374,, mcg , 36,,Folic Acid
67374,, mg , 0.30,,Thiamin (Vitamin B1)
67374,, mg , 0.33,,Riboflavin (Vitamin B2)
67374,, mg , 0.34,,Vitamin B6
67374,, mcg , 0.48,,Vitamin B12
67374,, mg NE , 3.2,,Niacin
67374,, mg , 80,,Choline
67374,, mcg , 8.0,,Biotin
67374,, mg , 1.3,,Pantothenic Acid
67374,, mg , 20,,Inositol
67411,, mcg RAE , 140,,Vitamin A
67411,, mcg , 5.9,,Vitamin D
67411,, mg , 2.5,,Vitamin E
67411,, mcg , 16,,Vitamin K
67411,, mg , 24,,Vitamin C
67411,, mcg DFE , 120,,Folate
67411,, mcg , 71,,Folic Acid
67411,, mg , 0.60,,Thiamin (Vitamin B1)
67411,, mg , 0.50,,Riboflavin (Vitamin B2)
67411,, mg , 0.60,,Vitamin B6
67411,, mcg , 1.4,,Vitamin B12
67411,, mg NE , 5.2,,Niacin
67411,, mg , 80,,Choline
67411,, mcg , 20,,Biotin
67411,, mg , 2.4,,Pantothenic Acid
67411,, mg , 32,,Inositol
67413,, mcg RAE , 140,,Vitamin A
67413,, mcg , 5.9,,Vitamin D
67413,, mg , 2.5,,Vitamin E
67413,, mcg , 16,,Vitamin K
67413,, mg , 24,,Vitamin C
67413,, mcg DFE , 120,,Folate
67413,, mg , 0.60,,Thiamin (Vitamin B1)
67413,, mg , 0.50,,Riboflavin (Vitamin B2)
67413,, mg , 0.60,,Vitamin B6
67413,, mcg , 1.4,,Vitamin B12
67413,, mg NE , 5.2,,Niacin
67413,, mg , 80,,Choline
67413,, mcg , 20,,Biotin
67413,, mg , 2.4,,Pantothenic Acid
67413,, mg , 32,,Inositol
67426p6,, mg , 840,35,Chloride
67426p6,, mg , 370,8,Potassium
66645,, mg , 630,25,Chloride
66645,, mg , 280,6,Potassium
66645,, mg , 2.8,25,Zinc
67434,, mg , 2.8,25,Zinc
67434,, mg , 630,25,Chloride
67434,, mg , 280,6,Potassium
66641,, mg , 280,6,Potassium
66641,, mg , 2.8,25,Zinc
66641,, mg , 630,25,Chloride
66969p6,, mg , 370,8,Potassium
66969p6,, mg , 840,35,Chloride
63059,, mg , 2.8,25,Zinc
63059,, mg , 440,20,Chloride
63059,, mg , 370,16,Sodium
63059,, mg , 280,6,Potassium
64301,, mg , 370,16,Sodium
64301,, mg , 280,6,Potassium
64301,, mg , 2.8,25,Zinc
64301,, mg , 440,20,Chloride
64307,, mg , 2.8,25,Zinc
64307,, mg , 440,20,Chloride
64307,, mg , 370,16,Sodium
64307,, mg , 280,6,Potassium
64598,, mg , 590,25,Chloride
64598,, mg , 370,8,Potassium
63057,, mg , 2.8,25,Zinc
63057,, mg , 440,20,Chloride
63057,, mg , 370,16,Sodium
63057,, mg , 280,6,Potassium
59892,, mg , 2.8,25,Zinc
59892,, mg , 440,20,Chloride
59892,, mg , 280,6,Potassium
66855,, mg , 630,25,Chloride
66855,, mg , 280,6,Potassium
66855,, mg , 2.8,25,Zinc
66643,, mg , 2.8,25,Zinc
66643,, mg , 630,25,Chloride
66643,, mg , 280,6,Potassium
62605,, mg , 100,2,Potassium
62605,, mg , 160,6,Chloride
67426,, mg , 840,35,Chloride
67426,, mg , 370,8,Potassium
64172,, mg , 370,8,Potassium
64172,, mg , 590,25,Chloride
64177,, mg , 590,25,Chloride
64177,, mg , 370,8,Potassium
66972,, mg , 840,35,Chloride
66972,, mg , 370,8,Potassium
66969,, mg , 370,8,Potassium
66969,, mg , 840,35,Chloride
56090,, mg , 240,10,Sodium
56090,, mg , 290,15,Chloride
56090,, mg , 180,4,Potassium
64595,, mg , 590,25,Chloride
64595,, mg , 370,8,Potassium
64307e,, mg , 2.8,25,Zinc
64307e,, mg , 440,20,Chloride
64307e,, mg , 370,16,Sodium
64307e,, mg , 280,6,Potassium
64172p6,, mg , 370,8,Potassium
64172p6,, mg , 590,25,Chloride
56090p8,, mg , 240,10,Sodium
56090p8,, mg , 290,15,Chloride
56090p8,, mg , 180,4,Potassium
59892p4,, mg , 2.8,25,Zinc
59892p4,, mg , 440,20,Chloride
59892p4,, mg , 280,6,Potassium
64598p6,, mg , 590,25,Chloride
64598p6,, mg , 370,8,Potassium
64177p6,, mg , 590,25,Chloride
64177p6,, mg , 370,8,Potassium
64595p6,, mg , 590,25,Chloride
64595p6,, mg , 370,8,Potassium
66645e,, mg , 630,25,Chloride
66645e,, mg , 280,6,Potassium
66645e,, mg , 2.8,25,Zinc
66855e,, mg , 630,25,Chloride
66855e,, mg , 280,6,Potassium
66855e,, mg , 2.8,25,Zinc
66641e,, mg , 280,6,Potassium
66641e,, mg , 2.8,25,Zinc
66641e,, mg , 630,25,Chloride
67434e,, mg , 2.8,25,Zinc
67434e,, mg , 630,25,Chloride
67434e,, mg , 280,6,Potassium
66643e,, mg , 2.8,25,Zinc
66643e,, mg , 630,25,Chloride
66643e,, mg , 280,6,Potassium
64301e,, mg , 370,16,Sodium
64301e,, mg , 280,6,Potassium
64301e,, mg , 2.8,25,Zinc
64301e,, mg , 440,20,Chloride
66972p6,, mg , 840,35,Chloride
66972p6,, mg , 370,8,Potassium
63059e,, mg , 2.8,25,Zinc
63059e,, mg , 440,20,Chloride
63059e,, mg , 370,16,Sodium
63059e,, mg , 280,6,Potassium
63057e,, mg , 2.8,25,Zinc
63057e,, mg , 440,20,Chloride
63057e,, mg , 370,16,Sodium
63057e,, mg , 280,6,Potassium
67225,, mg , 590,25,Chloride
